review_id,order_id,customer_id,restaurant_id,review_rating,review_text,sentiment,review_length,review_text_lower,review_text_no_punctuation,tokens,tokens_no_stopwords,lemmatized_tokens,clean_text
REV_000001,ORD_004320,CUST_01005,REST_0069,5,The food was prepared really well. The delivery was smooth.,Positive,59,the food was prepared really well. the delivery was smooth.,the food was prepared really well the delivery was smooth,"['the', 'food', 'was', 'prepared', 'really', 'well', 'the', 'delivery', 'was', 'smooth']","['food', 'prepared', 'really', 'well', 'delivery', 'smooth']","['food', 'prepared', 'really', 'well', 'delivery', 'smooth']",food prepared really well delivery smooth
REV_000002,ORD_002354,CUST_00794,REST_0115,4,Very happy with the order. The food arrived hot and fresh. The order arrived without any issues.,Positive,96,very happy with the order. the food arrived hot and fresh. the order arrived without any issues.,very happy with the order the food arrived hot and fresh the order arrived without any issues,"['very', 'happy', 'with', 'the', 'order', 'the', 'food', 'arrived', 'hot', 'and', 'fresh', 'the', 'order', 'arrived', 'without', 'any', 'issues']","['happy', 'order', 'food', 'arrived', 'hot', 'fresh', 'order', 'arrived', 'without', 'issues']","['happy', 'order', 'food', 'arrived', 'hot', 'fresh', 'order', 'arrived', 'without', 'issue']",happy order food arrived hot fresh order arrived without issue
REV_000003,ORD_004732,CUST_00476,REST_0060,3,The meal was fine. The delivery was okay.,Neutral,41,the meal was fine. the delivery was okay.,the meal was fine the delivery was okay,"['the', 'meal', 'was', 'fine', 'the', 'delivery', 'was', 'okay']","['meal', 'fine', 'delivery', 'okay']","['meal', 'fine', 'delivery', 'okay']",meal fine delivery okay
REV_000004,ORD_003302,CUST_01416,REST_0051,3,The food was okay overall. The meal was fine. Delivery was neither fast nor slow.,Neutral,81,the food was okay overall. the meal was fine. delivery was neither fast nor slow.,the food was okay overall the meal was fine delivery was neither fast nor slow,"['the', 'food', 'was', 'okay', 'overall', 'the', 'meal', 'was', 'fine', 'delivery', 'was', 'neither', 'fast', 'nor', 'slow']","['food', 'okay', 'overall', 'meal', 'fine', 'delivery', 'neither', 'fast', 'slow']","['food', 'okay', 'overall', 'meal', 'fine', 'delivery', 'neither', 'fast', 'slow']",food okay overall meal fine delivery neither fast slow
REV_000005,ORD_002931,CUST_00384,REST_0059,4,Everything tasted great. The packaging was neat.,Positive,48,everything tasted great. the packaging was neat.,everything tasted great the packaging was neat,"['everything', 'tasted', 'great', 'the', 'packaging', 'was', 'neat']","['everything', 'tasted', 'great', 'packaging', 'neat']","['everything', 'tasted', 'great', 'packaging', 'neat']",everything tasted great packaging neat
REV_000006,ORD_004363,CUST_01414,REST_0095,4,Loved the overall experience. Everything tasted great. The driver delivered the order quickly.,Positive,94,loved the overall experience. everything tasted great. the driver delivered the order quickly.,loved the overall experience everything tasted great the driver delivered the order quickly,"['loved', 'the', 'overall', 'experience', 'everything', 'tasted', 'great', 'the', 'driver', 'delivered', 'the', 'order', 'quickly']","['loved', 'overall', 'experience', 'everything', 'tasted', 'great', 'driver', 'delivered', 'order', 'quickly']","['loved', 'overall', 'experience', 'everything', 'tasted', 'great', 'driver', 'delivered', 'order', 'quickly']",loved overall experience everything tasted great driver delivered order quickly
REV_000007,ORD_004809,CUST_00504,REST_0145,4,The meal was flavorful and satisfying. The delivery was smooth.,Positive,63,the meal was flavorful and satisfying. the delivery was smooth.,the meal was flavorful and satisfying the delivery was smooth,"['the', 'meal', 'was', 'flavorful', 'and', 'satisfying', 'the', 'delivery', 'was', 'smooth']","['meal', 'flavorful', 'satisfying', 'delivery', 'smooth']","['meal', 'flavorful', 'satisfying', 'delivery', 'smooth']",meal flavorful satisfying delivery smooth
REV_000008,ORD_000794,CUST_01258,REST_0045,4,Really good experience.,Positive,23,really good experience.,really good experience,"['really', 'good', 'experience']","['really', 'good', 'experience']","['really', 'good', 'experience']",really good experience
REV_000009,ORD_003693,CUST_01344,REST_0134,4,Very happy with the order. The food was prepared really well. Delivery was quick.,Positive,81,very happy with the order. the food was prepared really well. delivery was quick.,very happy with the order the food was prepared really well delivery was quick,"['very', 'happy', 'with', 'the', 'order', 'the', 'food', 'was', 'prepared', 'really', 'well', 'delivery', 'was', 'quick']","['happy', 'order', 'food', 'prepared', 'really', 'well', 'delivery', 'quick']","['happy', 'order', 'food', 'prepared', 'really', 'well', 'delivery', 'quick']",happy order food prepared really well delivery quick
REV_000010,ORD_004415,CUST_01370,REST_0101,4,Very happy with the order. Everything tasted great. The order arrived on time.,Positive,78,very happy with the order. everything tasted great. the order arrived on time.,very happy with the order everything tasted great the order arrived on time,"['very', 'happy', 'with', 'the', 'order', 'everything', 'tasted', 'great', 'the', 'order', 'arrived', 'on', 'time']","['happy', 'order', 'everything', 'tasted', 'great', 'order', 'arrived', 'time']","['happy', 'order', 'everything', 'tasted', 'great', 'order', 'arrived', 'time']",happy order everything tasted great order arrived time
REV_000011,ORD_001278,CUST_01496,REST_0001,4,Really enjoyed the meal. The food quality was excellent. The driver delivered the order quickly.,Positive,96,really enjoyed the meal. the food quality was excellent. the driver delivered the order quickly.,really enjoyed the meal the food quality was excellent the driver delivered the order quickly,"['really', 'enjoyed', 'the', 'meal', 'the', 'food', 'quality', 'was', 'excellent', 'the', 'driver', 'delivered', 'the', 'order', 'quickly']","['really', 'enjoyed', 'meal', 'food', 'quality', 'excellent', 'driver', 'delivered', 'order', 'quickly']","['really', 'enjoyed', 'meal', 'food', 'quality', 'excellent', 'driver', 'delivered', 'order', 'quickly']",really enjoyed meal food quality excellent driver delivered order quickly
REV_000012,ORD_006510,CUST_01252,REST_0168,5,The meal was flavorful and satisfying. The order arrived without any issues.,Positive,76,the meal was flavorful and satisfying. the order arrived without any issues.,the meal was flavorful and satisfying the order arrived without any issues,"['the', 'meal', 'was', 'flavorful', 'and', 'satisfying', 'the', 'order', 'arrived', 'without', 'any', 'issues']","['meal', 'flavorful', 'satisfying', 'order', 'arrived', 'without', 'issues']","['meal', 'flavorful', 'satisfying', 'order', 'arrived', 'without', 'issue']",meal flavorful satisfying order arrived without issue
REV_000013,ORD_005702,CUST_00270,REST_0144,2,The order could have been much better.,Negative,38,the order could have been much better.,the order could have been much better,"['the', 'order', 'could', 'have', 'been', 'much', 'better']","['order', 'could', 'much', 'better']","['order', 'could', 'much', 'better']",order could much better
REV_000014,ORD_001842,CUST_00490,REST_0140,5,The meal was excellent. The meal was flavorful and satisfying. The delivery was faster than expected.,Positive,101,the meal was excellent. the meal was flavorful and satisfying. the delivery was faster than expected.,the meal was excellent the meal was flavorful and satisfying the delivery was faster than expected,"['the', 'meal', 'was', 'excellent', 'the', 'meal', 'was', 'flavorful', 'and', 'satisfying', 'the', 'delivery', 'was', 'faster', 'than', 'expected']","['meal', 'excellent', 'meal', 'flavorful', 'satisfying', 'delivery', 'faster', 'expected']","['meal', 'excellent', 'meal', 'flavorful', 'satisfying', 'delivery', 'faster', 'expected']",meal excellent meal flavorful satisfying delivery faster expected
REV_000015,ORD_003725,CUST_00663,REST_0024,5,Great food and service.,Positive,23,great food and service.,great food and service,"['great', 'food', 'and', 'service']","['great', 'food', 'service']","['great', 'food', 'service']",great food service
REV_000016,ORD_007023,CUST_00136,REST_0011,4,Great food and service. The food arrived hot and fresh. The delivery was smooth.,Positive,80,great food and service. the food arrived hot and fresh. the delivery was smooth.,great food and service the food arrived hot and fresh the delivery was smooth,"['great', 'food', 'and', 'service', 'the', 'food', 'arrived', 'hot', 'and', 'fresh', 'the', 'delivery', 'was', 'smooth']","['great', 'food', 'service', 'food', 'arrived', 'hot', 'fresh', 'delivery', 'smooth']","['great', 'food', 'service', 'food', 'arrived', 'hot', 'fresh', 'delivery', 'smooth']",great food service food arrived hot fresh delivery smooth
REV_000017,ORD_001110,CUST_00424,REST_0113,4,Loved the overall experience. Everything tasted great. Delivery was quick.,Positive,74,loved the overall experience. everything tasted great. delivery was quick.,loved the overall experience everything tasted great delivery was quick,"['loved', 'the', 'overall', 'experience', 'everything', 'tasted', 'great', 'delivery', 'was', 'quick']","['loved', 'overall', 'experience', 'everything', 'tasted', 'great', 'delivery', 'quick']","['loved', 'overall', 'experience', 'everything', 'tasted', 'great', 'delivery', 'quick']",loved overall experience everything tasted great delivery quick
REV_000018,ORD_003114,CUST_00816,REST_0135,2,The order could have been much better. The food was below expectations. The order took much longer than expected.,Negative,113,the order could have been much better. the food was below expectations. the order took much longer than expected.,the order could have been much better the food was below expectations the order took much longer than expected,"['the', 'order', 'could', 'have', 'been', 'much', 'better', 'the', 'food', 'was', 'below', 'expectations', 'the', 'order', 'took', 'much', 'longer', 'than', 'expected']","['order', 'could', 'much', 'better', 'food', 'expectations', 'order', 'took', 'much', 'longer', 'expected']","['order', 'could', 'much', 'better', 'food', 'expectation', 'order', 'took', 'much', 'longer', 'expected']",order could much better food expectation order took much longer expected
REV_000019,ORD_001435,CUST_00494,REST_0131,4,The food was prepared really well. The packaging was neat.,Positive,58,the food was prepared really well. the packaging was neat.,the food was prepared really well the packaging was neat,"['the', 'food', 'was', 'prepared', 'really', 'well', 'the', 'packaging', 'was', 'neat']","['food', 'prepared', 'really', 'well', 'packaging', 'neat']","['food', 'prepared', 'really', 'well', 'packaging', 'neat']",food prepared really well packaging neat
REV_000020,ORD_002813,CUST_00275,REST_0176,5,Very satisfied with the order. The food was prepared really well. The delivery was smooth.,Positive,90,very satisfied with the order. the food was prepared really well. the delivery was smooth.,very satisfied with the order the food was prepared really well the delivery was smooth,"['very', 'satisfied', 'with', 'the', 'order', 'the', 'food', 'was', 'prepared', 'really', 'well', 'the', 'delivery', 'was', 'smooth']","['satisfied', 'order', 'food', 'prepared', 'really', 'well', 'delivery', 'smooth']","['satisfied', 'order', 'food', 'prepared', 'really', 'well', 'delivery', 'smooth']",satisfied order food prepared really well delivery smooth
REV_000021,ORD_000274,CUST_00295,REST_0038,4,The food quality was excellent. The delivery was smooth.,Positive,56,the food quality was excellent. the delivery was smooth.,the food quality was excellent the delivery was smooth,"['the', 'food', 'quality', 'was', 'excellent', 'the', 'delivery', 'was', 'smooth']","['food', 'quality', 'excellent', 'delivery', 'smooth']","['food', 'quality', 'excellent', 'delivery', 'smooth']",food quality excellent delivery smooth
REV_000022,ORD_004512,CUST_01095,REST_0187,4,Very happy with the order. The portion size was good. The delivery was faster than expected.,Positive,92,very happy with the order. the portion size was good. the delivery was faster than expected.,very happy with the order the portion size was good the delivery was faster than expected,"['very', 'happy', 'with', 'the', 'order', 'the', 'portion', 'size', 'was', 'good', 'the', 'delivery', 'was', 'faster', 'than', 'expected']","['happy', 'order', 'portion', 'size', 'good', 'delivery', 'faster', 'expected']","['happy', 'order', 'portion', 'size', 'good', 'delivery', 'faster', 'expected']",happy order portion size good delivery faster expected
REV_000023,ORD_000349,CUST_00712,REST_0181,5,The meal was flavorful and satisfying. The order arrived without any issues.,Positive,76,the meal was flavorful and satisfying. the order arrived without any issues.,the meal was flavorful and satisfying the order arrived without any issues,"['the', 'meal', 'was', 'flavorful', 'and', 'satisfying', 'the', 'order', 'arrived', 'without', 'any', 'issues']","['meal', 'flavorful', 'satisfying', 'order', 'arrived', 'without', 'issues']","['meal', 'flavorful', 'satisfying', 'order', 'arrived', 'without', 'issue']",meal flavorful satisfying order arrived without issue
REV_000024,ORD_003326,CUST_00191,REST_0015,4,Great food and service. The portion size was good. The delivery was smooth.,Positive,75,great food and service. the portion size was good. the delivery was smooth.,great food and service the portion size was good the delivery was smooth,"['great', 'food', 'and', 'service', 'the', 'portion', 'size', 'was', 'good', 'the', 'delivery', 'was', 'smooth']","['great', 'food', 'service', 'portion', 'size', 'good', 'delivery', 'smooth']","['great', 'food', 'service', 'portion', 'size', 'good', 'delivery', 'smooth']",great food service portion size good delivery smooth
REV_000025,ORD_009656,CUST_00055,REST_0013,4,Loved the overall experience. Everything tasted fresh. The order arrived on time.,Positive,81,loved the overall experience. everything tasted fresh. the order arrived on time.,loved the overall experience everything tasted fresh the order arrived on time,"['loved', 'the', 'overall', 'experience', 'everything', 'tasted', 'fresh', 'the', 'order', 'arrived', 'on', 'time']","['loved', 'overall', 'experience', 'everything', 'tasted', 'fresh', 'order', 'arrived', 'time']","['loved', 'overall', 'experience', 'everything', 'tasted', 'fresh', 'order', 'arrived', 'time']",loved overall experience everything tasted fresh order arrived time
REV_000026,ORD_002476,CUST_00053,REST_0154,5,Very happy with the order. The food arrived hot and fresh. Delivery was quick.,Positive,78,very happy with the order. the food arrived hot and fresh. delivery was quick.,very happy with the order the food arrived hot and fresh delivery was quick,"['very', 'happy', 'with', 'the', 'order', 'the', 'food', 'arrived', 'hot', 'and', 'fresh', 'delivery', 'was', 'quick']","['happy', 'order', 'food', 'arrived', 'hot', 'fresh', 'delivery', 'quick']","['happy', 'order', 'food', 'arrived', 'hot', 'fresh', 'delivery', 'quick']",happy order food arrived hot fresh delivery quick
REV_000027,ORD_007359,CUST_01173,REST_0099,4,Everything tasted great. Everything was packed properly.,Positive,56,everything tasted great. everything was packed properly.,everything tasted great everything was packed properly,"['everything', 'tasted', 'great', 'everything', 'was', 'packed', 'properly']","['everything', 'tasted', 'great', 'everything', 'packed', 'properly']","['everything', 'tasted', 'great', 'everything', 'packed', 'properly']",everything tasted great everything packed properly
REV_000028,ORD_001449,CUST_00372,REST_0068,4,Loved the overall experience. The food was prepared really well. The driver delivered the order quickly.,Positive,104,loved the overall experience. the food was prepared really well. the driver delivered the order quickly.,loved the overall experience the food was prepared really well the driver delivered the order quickly,"['loved', 'the', 'overall', 'experience', 'the', 'food', 'was', 'prepared', 'really', 'well', 'the', 'driver', 'delivered', 'the', 'order', 'quickly']","['loved', 'overall', 'experience', 'food', 'prepared', 'really', 'well', 'driver', 'delivered', 'order', 'quickly']","['loved', 'overall', 'experience', 'food', 'prepared', 'really', 'well', 'driver', 'delivered', 'order', 'quickly']",loved overall experience food prepared really well driver delivered order quickly
REV_000029,ORD_000352,CUST_01485,REST_0149,4,Everything tasted fresh. The delivery was faster than expected.,Positive,63,everything tasted fresh. the delivery was faster than expected.,everything tasted fresh the delivery was faster than expected,"['everything', 'tasted', 'fresh', 'the', 'delivery', 'was', 'faster', 'than', 'expected']","['everything', 'tasted', 'fresh', 'delivery', 'faster', 'expected']","['everything', 'tasted', 'fresh', 'delivery', 'faster', 'expected']",everything tasted fresh delivery faster expected
REV_000030,ORD_003351,CUST_00780,REST_0038,4,Really good experience. The food was prepared really well. Delivery was quick.,Positive,78,really good experience. the food was prepared really well. delivery was quick.,really good experience the food was prepared really well delivery was quick,"['really', 'good', 'experience', 'the', 'food', 'was', 'prepared', 'really', 'well', 'delivery', 'was', 'quick']","['really', 'good', 'experience', 'food', 'prepared', 'really', 'well', 'delivery', 'quick']","['really', 'good', 'experience', 'food', 'prepared', 'really', 'well', 'delivery', 'quick']",really good experience food prepared really well delivery quick
REV_000031,ORD_007677,CUST_00210,REST_0192,4,The food arrived hot and fresh. The driver delivered the order quickly.,Positive,71,the food arrived hot and fresh. the driver delivered the order quickly.,the food arrived hot and fresh the driver delivered the order quickly,"['the', 'food', 'arrived', 'hot', 'and', 'fresh', 'the', 'driver', 'delivered', 'the', 'order', 'quickly']","['food', 'arrived', 'hot', 'fresh', 'driver', 'delivered', 'order', 'quickly']","['food', 'arrived', 'hot', 'fresh', 'driver', 'delivered', 'order', 'quickly']",food arrived hot fresh driver delivered order quickly
REV_000032,ORD_005361,CUST_00570,REST_0003,4,Everything tasted great. The delivery was smooth.,Positive,49,everything tasted great. the delivery was smooth.,everything tasted great the delivery was smooth,"['everything', 'tasted', 'great', 'the', 'delivery', 'was', 'smooth']","['everything', 'tasted', 'great', 'delivery', 'smooth']","['everything', 'tasted', 'great', 'delivery', 'smooth']",everything tasted great delivery smooth
REV_000033,ORD_006917,CUST_01123,REST_0065,5,The meal was flavorful and satisfying. The order arrived on time.,Positive,65,the meal was flavorful and satisfying. the order arrived on time.,the meal was flavorful and satisfying the order arrived on time,"['the', 'meal', 'was', 'flavorful', 'and', 'satisfying', 'the', 'order', 'arrived', 'on', 'time']","['meal', 'flavorful', 'satisfying', 'order', 'arrived', 'time']","['meal', 'flavorful', 'satisfying', 'order', 'arrived', 'time']",meal flavorful satisfying order arrived time
REV_000034,ORD_004917,CUST_01437,REST_0165,4,The food was prepared really well. The packaging kept the food fresh.,Positive,69,the food was prepared really well. the packaging kept the food fresh.,the food was prepared really well the packaging kept the food fresh,"['the', 'food', 'was', 'prepared', 'really', 'well', 'the', 'packaging', 'kept', 'the', 'food', 'fresh']","['food', 'prepared', 'really', 'well', 'packaging', 'kept', 'food', 'fresh']","['food', 'prepared', 'really', 'well', 'packaging', 'kept', 'food', 'fresh']",food prepared really well packaging kept food fresh
REV_000035,ORD_002842,CUST_01312,REST_0056,4,Really good experience. The food quality was excellent. The delivery was faster than expected.,Positive,94,really good experience. the food quality was excellent. the delivery was faster than expected.,really good experience the food quality was excellent the delivery was faster than expected,"['really', 'good', 'experience', 'the', 'food', 'quality', 'was', 'excellent', 'the', 'delivery', 'was', 'faster', 'than', 'expected']","['really', 'good', 'experience', 'food', 'quality', 'excellent', 'delivery', 'faster', 'expected']","['really', 'good', 'experience', 'food', 'quality', 'excellent', 'delivery', 'faster', 'expected']",really good experience food quality excellent delivery faster expected
REV_000036,ORD_009287,CUST_00796,REST_0032,3,The food quality was average. The delivery was okay.,Neutral,52,the food quality was average. the delivery was okay.,the food quality was average the delivery was okay,"['the', 'food', 'quality', 'was', 'average', 'the', 'delivery', 'was', 'okay']","['food', 'quality', 'average', 'delivery', 'okay']","['food', 'quality', 'average', 'delivery', 'okay']",food quality average delivery okay
REV_000037,ORD_007234,CUST_00728,REST_0005,3,The experience was acceptable.,Neutral,30,the experience was acceptable.,the experience was acceptable,"['the', 'experience', 'was', 'acceptable']","['experience', 'acceptable']","['experience', 'acceptable']",experience acceptable
REV_000038,ORD_009046,CUST_00735,REST_0127,4,Really good experience. The food was prepared really well. Everything arrived in good condition.,Positive,96,really good experience. the food was prepared really well. everything arrived in good condition.,really good experience the food was prepared really well everything arrived in good condition,"['really', 'good', 'experience', 'the', 'food', 'was', 'prepared', 'really', 'well', 'everything', 'arrived', 'in', 'good', 'condition']","['really', 'good', 'experience', 'food', 'prepared', 'really', 'well', 'everything', 'arrived', 'good', 'condition']","['really', 'good', 'experience', 'food', 'prepared', 'really', 'well', 'everything', 'arrived', 'good', 'condition']",really good experience food prepared really well everything arrived good condition
